plate	round	well	tile	z	channel
1	1	A1	174	0	561_nm
1	1	A1	174	0	638_nm
1	1	A1	175	0	405_nm
1	1	A1	175	0	488_nm
1	1	A1	175	0	561_nm
1	1	A1	175	0	638_nm
1	1	A1	176	0	405_nm
1	1	A1	176	0	488_nm
1	1	A1	176	0	561_nm
1	1	A1	176	0	638_nm
1	1	A1	177	0	405_nm
1	1	A1	177	0	488_nm
1	1	A1	177	0	561_nm
1	1	A1	177	0	638_nm
1	1	A1	178	0	405_nm
1	1	A1	178	0	488_nm
1	1	A1	178	0	561_nm
1	1	A1	178	0	638_nm
1	1	A1	179	0	405_nm
1	1	A1	179	0	488_nm
1	1	A1	179	0	561_nm
1	1	A1	179	0	638_nm
1	1	A1	180	0	405_nm
1	1	A1	180	0	488_nm
1	1	A1	180	0	561_nm
1	1	A1	180	0	638_nm
1	1	A1	181	0	405_nm
1	1	A1	181	0	488_nm
1	1	A1	181	0	561_nm
1	1	A1	181	0	638_nm
1	1	A1	182	0	405_nm
1	1	A1	182	0	488_nm
1	1	A1	182	0	561_nm
1	1	A1	182	0	638_nm
1	1	A1	183	0	405_nm
1	1	A1	183	0	488_nm
1	1	A1	183	0	561_nm
1	1	A1	183	0	638_nm
1	1	A1	184	0	405_nm
1	1	A1	184	0	488_nm
1	1	A1	184	0	561_nm
1	1	A1	184	0	638_nm
1	1	A1	185	0	405_nm
1	1	A1	185	0	488_nm
1	1	A1	185	0	561_nm
1	1	A1	185	0	638_nm
1	1	A1	186	0	405_nm
1	1	A1	186	0	488_nm
1	1	A1	186	0	561_nm
1	1	A1	186	0	638_nm
1	1	A1	187	0	405_nm
1	1	A1	187	0	488_nm
1	1	A1	187	0	561_nm
1	1	A1	187	0	638_nm
1	1	A1	188	0	405_nm
1	1	A1	188	0	488_nm
1	1	A1	188	0	561_nm
1	1	A1	188	0	638_nm
1	1	A1	189	0	405_nm
1	1	A1	189	0	488_nm
1	1	A1	189	0	561_nm
1	1	A1	189	0	638_nm
1	1	A1	190	0	405_nm
1	1	A1	190	0	488_nm
1	1	A1	190	0	561_nm
1	1	A1	190	0	638_nm
1	1	A1	191	0	405_nm
1	1	A1	191	0	488_nm
1	1	A1	191	0	561_nm
1	1	A1	191	0	638_nm
1	1	A1	192	0	405_nm
1	1	A1	192	0	488_nm
1	1	A1	192	0	561_nm
1	1	A1	192	0	638_nm
1	1	A1	193	0	405_nm
1	1	A1	193	0	488_nm
1	1	A1	193	0	561_nm
1	1	A1	193	0	638_nm
1	1	A1	194	0	405_nm
1	1	A1	194	0	488_nm
1	1	A1	194	0	561_nm
1	1	A1	194	0	638_nm
1	1	A1	195	0	405_nm
1	1	A1	195	0	488_nm
1	1	A1	195	0	561_nm
1	1	A1	195	0	638_nm
1	1	A1	196	0	405_nm
